claim_id,evidence_doc_id,object,predicate,source_id,subject_id
a95bec88-e4c0-5d0b-a902-6ae81b3b9907,5e7ba024-4137-5686-8ae8-7f58513c7ef8,https://classic.battle.net/diablo2exp/,discovered_via,arreat-summit,f4b81583-a556-59d2-9371-d39b8e655a14
bae625a6-4645-51f3-9408-5764f6d4ca8c,5e7ba024-4137-5686-8ae8-7f58513c7ef8,official,lane,arreat-summit,5e7ba024-4137-5686-8ae8-7f58513c7ef8
bca35566-66d6-522e-927b-5ccb9acfbc44,5e7ba024-4137-5686-8ae8-7f58513c7ef8,official,authority_tier,arreat-summit,5e7ba024-4137-5686-8ae8-7f58513c7ef8
84dbedb3-cea5-5f93-9fe3-1d8f440cda8b,8e5a2cee-e913-5c2d-9bed-a318f3311b04,https://classic.battle.net/diablo2exp/basics/,discovered_via,arreat-summit,d7386d56-60ab-5c6f-a8b6-e1f4c3d07090
74477d3d-82e3-54b6-b060-42d2efb6bbf1,8e5a2cee-e913-5c2d-9bed-a318f3311b04,official,lane,arreat-summit,8e5a2cee-e913-5c2d-9bed-a318f3311b04
532e0c10-a954-53e3-94f7-98ab33d6fd7f,8e5a2cee-e913-5c2d-9bed-a318f3311b04,official,authority_tier,arreat-summit,8e5a2cee-e913-5c2d-9bed-a318f3311b04
869f52c7-e618-5a58-8f1c-b10caa526e7e,d07f47dd-a714-5f0c-a495-a6190468d81d,https://classic.battle.net/diablo2exp/classes/,discovered_via,arreat-summit,37ab3d63-41a1-50b8-9540-ad4926b8f4e2
41e95ea3-0f04-5077-8283-936dab468a80,d07f47dd-a714-5f0c-a495-a6190468d81d,official,lane,arreat-summit,d07f47dd-a714-5f0c-a495-a6190468d81d
c12884f0-fcca-57cf-b805-05cbeeac40bc,d07f47dd-a714-5f0c-a495-a6190468d81d,official,authority_tier,arreat-summit,d07f47dd-a714-5f0c-a495-a6190468d81d
a02b5d10-a0fb-5ee9-9d7c-8b40df0858ff,040d4855-c9ab-57c6-8597-75b4ef4da31a,https://classic.battle.net/diablo2exp/skills/,discovered_via,arreat-summit,cde5f873-722e-502b-9b8f-2bb53865d558
4a19e08d-9086-5135-a087-866932399711,040d4855-c9ab-57c6-8597-75b4ef4da31a,official,lane,arreat-summit,040d4855-c9ab-57c6-8597-75b4ef4da31a
bdd5ff83-d182-5f94-b30f-8075323f8ce4,040d4855-c9ab-57c6-8597-75b4ef4da31a,official,authority_tier,arreat-summit,040d4855-c9ab-57c6-8597-75b4ef4da31a
6ceec254-1c17-5ca8-8b78-6141a99a018a,66d522d6-b624-5f2b-87d8-eceda4572eec,https://classic.battle.net/diablo2exp/items/,discovered_via,arreat-summit,c5984ff1-fca2-5a78-825b-503fe21bef75
b94fcb49-150d-53fe-aa1a-3e96e3853ddc,66d522d6-b624-5f2b-87d8-eceda4572eec,official,lane,arreat-summit,66d522d6-b624-5f2b-87d8-eceda4572eec
b9719304-b6f3-53da-b81b-fb11ed07ccab,66d522d6-b624-5f2b-87d8-eceda4572eec,official,authority_tier,arreat-summit,66d522d6-b624-5f2b-87d8-eceda4572eec
30b78b47-03c4-5e2e-8a37-bb22ba661d9a,6f462207-01de-59c9-aa9b-de2bd970d90b,https://classic.battle.net/diablo2exp/monsters/,discovered_via,arreat-summit,eb0420e5-150c-5552-9be7-0cd3a9c05b69
538893ec-759f-53d7-bea6-9e05a2117332,6f462207-01de-59c9-aa9b-de2bd970d90b,official,lane,arreat-summit,6f462207-01de-59c9-aa9b-de2bd970d90b
73857a53-c71c-5a05-987b-da14e69b4b7a,6f462207-01de-59c9-aa9b-de2bd970d90b,official,authority_tier,arreat-summit,6f462207-01de-59c9-aa9b-de2bd970d90b
