edge_id,edge_type,from_id,to_id
dc337063-a7a0-5646-b638-378ac04646d2,BELONGS_TO_SOURCE,5e7ba024-4137-5686-8ae8-7f58513c7ef8,53cd039a-953c-5329-8cc7-9365aa7d10b9
3b582f0e-407e-5fa4-a675-539a8e185973,DESCRIBES,5e7ba024-4137-5686-8ae8-7f58513c7ef8,f4b81583-a556-59d2-9371-d39b8e655a14
87217d65-1661-5f4d-b3df-99b7a15005db,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,8f14379c-2d92-5f55-b8e9-760936a94049
796f990a-0d41-511b-934c-ab663dc961ed,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,3c958292-f4e5-5a50-97ab-c9b9eb6a256e
944930e4-96a0-58c5-8c83-0dd509eee51e,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,0b6496e4-b2b1-575f-9384-6ee2eae9f05e
18a00427-9b09-5e86-a4a4-d144b38d20dd,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,474d5dc7-51ed-5b8a-9090-0e08c3718bdb
fb381ee3-fdec-5255-9e2c-2fa79d2a525b,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,7d75c3a5-069e-5df7-aaba-3a1a6918f5ef
aff0886d-a1c4-5cf9-830f-aa3dc767c650,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,7c534f9d-853b-517e-8840-b9aedb8814ba
cba93b3f-bd4c-5e02-848f-93dfb06425be,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,e8d29f60-4baf-56ae-a688-9608c16a528e
e6204440-1382-5426-9e11-622dcb50e840,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,b2fcdf62-a432-5410-870f-8cb1d008cd42
42d4285c-d125-5105-82b7-f2dc614cff2c,DISCOVERS_URL,5e7ba024-4137-5686-8ae8-7f58513c7ef8,ffd373bd-b5df-523f-b350-fad460f2a6f6
