area::barracks::28	Barracks	軍營	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 59, ""monster_density_hell"": 680}"
area::black-marsh::6	Black Marsh	黑色荒地	0	"[""outdoor"", ""waypoint""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 56, ""monster_density_hell"": 520}"
area::blood-moor::2	Blood Moor	鮮血荒地	0	"[""outdoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 51, ""monster_density_hell"": 520}"
area::burial-grounds::17	Burial Grounds	埋骨之地	0	"[""outdoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 53, ""monster_density_hell"": 520}"
area::catacombs-level-1::34	Catacombs Level 1	地下墓穴第一層	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 61, ""monster_density_hell"": 680}"
area::catacombs-level-2::35	Catacombs Level 2	地下墓穴第二層	0	"[""indoor"", ""waypoint""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 61, ""monster_density_hell"": 680}"
area::catacombs-level-3::36	Catacombs Level 3	地下墓穴第三層	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 62, ""monster_density_hell"": 680}"
area::catacombs-level-4::37	Catacombs Level 4	地下墓穴第四層	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 62, ""monster_density_hell"": 680}"
area::cathedral::33	Cathedral	大教堂	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 61, ""monster_density_hell"": 680}"
area::cave-level-1::9	Cave Level 1	洞窟第一層	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 52, ""monster_density_hell"": 600}"
area::cave-level-2::13	Cave Level 2	洞窟第二層	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 52, ""monster_density_hell"": 600}"
area::cold-plains::3	Cold Plains	冰冷之原	0	"[""outdoor"", ""waypoint""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 52, ""monster_density_hell"": 520}"
area::crypt::18	Crypt	墓地	0	"[""indoor""]"	[]	blizzhackers/d2data	True	"{""level_hell"": 53, ""monster_density_hell"": 1056}"
