b65d2e30-ca3d-5893-b71e-2145685aafdb	ApiEndpoint	api	Diablo 2 API | Diablo-2.net	"[""Diablo 2 API | Diablo-2.net"", ""api""]"	1	1	"[""diablo2-net-api""]"	1	{}
b2f93ffd-8dd3-54f0-9786-dd0003c030b2	ApiEndpoint	api	api	"[""api""]"	0	0	[]	0	{}
c1cf31d7-6098-565a-91c6-3d36c49fbeeb	ApiEndpoint	example.html	example.html	"[""example"", ""example.html""]"	0	0	[]	0	{}
b99e5ef3-31bb-5f60-ad9b-203d6ba0c57d	ApiEndpoint	items	items-endpoint	"[""items"", ""items-endpoint""]"	1	1	"[""diablo2-net-api""]"	1	{}
2402d9b1-2fce-59fc-b5fe-9d821fc91d5d	ApiEndpoint	items-list	items-list	"[""items list"", ""items-list""]"	0	0	[]	0	{}
1e12fd92-f131-58ca-94b8-18b4749586c0	ApiEndpoint	runes	runes-endpoint	"[""runes"", ""runes-endpoint""]"	1	1	"[""diablo2-net-api""]"	1	{}
f0d16ac2-db89-5e7d-a2a8-4373d7d7853f	ApiEndpoint	runes-list	runes-list	"[""runes list"", ""runes-list""]"	0	0	[]	0	{}
c9eb4129-4857-5618-bac7-05f6ce74a559	ApiEndpoint	unique-items	unique-items-endpoint	"[""unique items"", ""unique-items"", ""unique-items-endpoint""]"	1	1	"[""diablo2-net-api""]"	1	{}
8b0abf54-a640-5fb7-8869-bc5071bbe3b6	Area	blood-moor-t3711	"Blood Moor 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Blood Moor • Diablo 2 Resurrected Area • diablo2.io"", ""blood moor t3711"", ""blood-moor-t3711""]"	1	1	"[""diablo2-io""]"	1	{}
21b8cf94-5cad-56aa-96d5-687a64d2a2b4	Area	burial-grounds-t3713	"Burial Grounds 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Burial Grounds • Diablo 2 Resurrected Area • diablo2.io"", ""burial grounds t3713"", ""burial-grounds-t3713""]"	1	1	"[""diablo2-io""]"	1	{}
8f191003-53ab-5f43-ac88-5c3b64af3a71	Area	cave-level-1-t3697	"Cave Level 1 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Cave Level 1 • Diablo 2 Resurrected Area • diablo2.io"", ""cave level 1 t3697"", ""cave-level-1-t3697""]"	1	1	"[""diablo2-io""]"	1	{}
b7882e89-9d37-5756-884b-62f381f9e287	Area	cave-level-2-t3698	"Cave Level 2 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Cave Level 2 • Diablo 2 Resurrected Area • diablo2.io"", ""cave level 2 t3698"", ""cave-level-2-t3698""]"	1	1	"[""diablo2-io""]"	1	{}
fc3ddf5f-f1fb-5a12-8c91-3ef7dcc60f17	Area	cold-plains-t3712	"Cold Plains 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Cold Plains • Diablo 2 Resurrected Area • diablo2.io"", ""cold plains t3712"", ""cold-plains-t3712""]"	1	1	"[""diablo2-io""]"	1	{}
d2c19df1-768b-5d1c-b5d1-cf283f30b40f	Area	crypt-t3703	"Crypt 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Crypt • Diablo 2 Resurrected Area • diablo2.io"", ""crypt t3703"", ""crypt-t3703""]"	1	1	"[""diablo2-io""]"	1	{}
af4a9501-18c6-5ebb-9b20-c5dec7212107	Area	den-of-evil-t3696	"Den of Evil 
        
        
        
                                  • Diablo 2 Resurrected Area
                          
        
         • diablo2.io"	"[""Den of Evil • Diablo 2 Resurrected Area • diablo2.io"", ""den of evil t3696"", ""den-of-evil-t3696""]"	1	1	"[""diablo2-io""]"	1	{}
